City,Date,PM2.5,PM10,O3,NO2,CO,SO2,AQI
Ahmedabad,2015-01-01,48.57,95.68,133.36,18.22,0.92,27.64,118.0
Ahmedabad,2015-01-02,48.57,95.68,34.06,15.69,0.97,24.55,118.0
Ahmedabad,2015-01-03,48.57,95.68,30.7,19.3,17.4,29.07,118.0
Ahmedabad,2015-01-04,48.57,95.68,36.08,18.48,1.7,18.59,118.0
Ahmedabad,2015-01-05,48.57,95.68,39.31,21.42,22.1,39.33,118.0
Ahmedabad,2015-01-06,48.57,95.68,46.51,38.48,45.41,45.76,118.0
Ahmedabad,2015-01-07,48.57,95.68,33.47,40.62,112.16,32.28,118.0
Ahmedabad,2015-01-08,48.57,95.68,31.89,36.74,80.87,38.54,118.0
Ahmedabad,2015-01-09,48.57,95.68,25.75,31.0,29.16,58.68,118.0
Ahmedabad,2015-01-10,48.57,95.68,4.55,7.04,0.89,8.29,118.0
Ahmedabad,2015-01-11,48.57,95.68,6.79,55.8,132.07,25.03,118.0
Ahmedabad,2015-01-12,48.57,95.68,45.89,40.67,52.04,51.84,118.0
Ahmedabad,2015-01-13,48.57,95.68,35.16,44.2,48.82,68.21,118.0
Ahmedabad,2015-01-14,48.57,95.68,20.96,27.86,19.2,52.65,118.0
Ahmedabad,2015-01-15,48.57,95.68,47.63,16.96,0.6,28.89,118.0
Ahmedabad,2015-01-16,48.57,95.68,46.03,21.72,1.63,38.27,118.0
Ahmedabad,2015-01-17,48.57,95.68,52.24,24.73,11.44,49.5,118.0
Ahmedabad,2015-01-18,48.57,95.68,53.49,25.77,6.1,48.43,118.0
Ahmedabad,2015-01-19,48.57,95.68,49.48,26.88,2.51,50.03,118.0
Ahmedabad,2015-01-20,48.57,95.68,56.37,26.8,7.92,58.87,118.0
Ahmedabad,2015-01-21,48.57,95.68,48.75,33.56,9.52,106.93,118.0
Ahmedabad,2015-01-22,48.57,95.68,42.22,17.51,9.05,23.71,118.0
Ahmedabad,2015-01-23,48.57,95.68,32.92,27.96,22.53,39.19,118.0
Ahmedabad,2015-01-24,48.57,95.68,32.49,20.39,2.03,40.07,118.0
Ahmedabad,2015-01-25,48.57,95.68,39.26,20.43,1.42,58.41,118.0
Ahmedabad,2015-01-26,48.57,95.68,39.83,21.16,2.27,43.73,118.0
Ahmedabad,2015-01-27,48.57,95.68,41.1,21.7,2.19,43.28,118.0
Ahmedabad,2015-01-28,73.24,95.68,62.42,21.11,5.72,36.52,118.0
Ahmedabad,2015-01-29,83.13,95.68,59.76,28.71,6.93,49.52,209.0
Ahmedabad,2015-01-30,79.84,95.68,97.07,28.68,13.85,48.49,328.0
Ahmedabad,2015-01-31,94.52,95.68,111.33,32.66,24.39,67.39,514.0
Ahmedabad,2015-02-01,135.99,95.68,102.7,42.08,43.48,75.23,782.0
Ahmedabad,2015-02-02,178.33,95.68,107.38,35.31,54.56,55.04,914.0
Ahmedabad,2015-02-03,139.7,95.68,73.6,28.4,30.61,33.79,660.0
Ahmedabad,2015-02-04,80.65,95.68,47.3,22.83,2.37,25.73,294.0
Ahmedabad,2015-02-05,58.36,95.68,53.54,21.39,2.6,32.66,149.0
Ahmedabad,2015-02-06,79.29,95.68,59.3,26.94,1.16,67.41,190.0
Ahmedabad,2015-02-07,88.7,95.68,44.76,31.32,7.29,80.09,247.0
Ahmedabad,2015-02-08,74.28,95.68,47.42,27.3,8.92,54.28,379.0
Ahmedabad,2015-02-09,113.93,95.68,39.94,24.27,4.32,48.73,341.0
Ahmedabad,2015-02-10,105.39,95.68,56.15,18.21,1.41,35.91,256.0
Ahmedabad,2015-02-11,66.52,95.68,53.14,23.8,6.34,66.58,388.0
Ahmedabad,2015-02-12,65.04,95.68,31.88,30.1,14.19,65.91,288.0
Ahmedabad,2015-02-13,103.36,95.68,40.11,39.56,18.18,80.43,510.0
Ahmedabad,2015-02-14,177.33,95.68,36.47,47.58,37.49,99.72,761.0
Ahmedabad,2015-02-15,113.25,95.68,33.78,30.5,15.55,69.71,475.0
Ahmedabad,2015-02-16,99.7,95.68,30.57,28.1,19.85,73.23,536.0
Ahmedabad,2015-02-17,80.61,95.68,36.2,21.04,15.96,54.7,479.0
Ahmedabad,2015-02-18,100.79,95.68,37.43,25.93,16.24,43.11,592.0
Ahmedabad,2015-02-19,107.99,95.68,31.94,30.09,11.25,84.86,427.0
Ahmedabad,2015-02-20,140.29,95.68,40.98,36.14,33.84,101.53,588.0
Ahmedabad,2015-02-21,239.96,95.68,33.55,46.25,61.95,84.87,1141.0
Ahmedabad,2015-02-22,142.96,95.68,34.77,48.21,45.45,62.96,669.0
Ahmedabad,2015-02-23,238.41,95.68,37.3,55.07,77.7,89.07,1247.0
Ahmedabad,2015-02-24,118.72,95.68,38.8,32.01,12.56,61.54,411.0
Ahmedabad,2015-02-25,52.99,95.68,67.25,10.45,2.23,32.76,292.0
Ahmedabad,2015-02-26,48.57,95.68,30.84,21.69,0.89,9.16,118.0
Ahmedabad,2015-02-27,48.57,95.68,30.84,21.69,0.89,9.16,118.0
Ahmedabad,2015-02-28,48.57,95.68,30.84,21.69,0.89,9.16,118.0
Ahmedabad,2015-03-01,61.12,95.68,30.48,16.81,3.58,28.44,118.0
Ahmedabad,2015-03-02,60.78,95.68,34.75,18.21,9.07,29.48,189.0
Ahmedabad,2015-03-03,91.83,95.68,38.46,28.71,12.99,39.71,408.0
Ahmedabad,2015-03-04,93.88,95.68,46.79,29.38,18.21,62.75,383.0
Ahmedabad,2015-03-05,173.01,95.68,59.39,42.27,48.44,78.76,780.0
Ahmedabad,2015-03-06,48.57,95.68,30.84,21.69,0.89,9.16,118.0
Ahmedabad,2015-03-07,105.45,95.68,69.9,16.1,2.5,29.29,118.0
Ahmedabad,2015-03-08,71.56,95.68,57.16,16.83,3.51,30.28,190.0
Ahmedabad,2015-03-09,119.8,95.68,50.49,24.07,4.13,50.35,233.0
Ahmedabad,2015-03-10,106.71,95.68,60.17,25.59,5.39,38.85,297.0
Ahmedabad,2015-03-11,118.49,95.68,53.61,28.94,4.11,54.2,330.0
Ahmedabad,2015-03-12,106.01,95.68,40.91,27.31,4.28,70.29,252.0
Ahmedabad,2015-03-13,97.34,95.68,45.69,21.58,3.67,64.39,244.0
Ahmedabad,2015-03-14,83.92,95.68,34.94,25.03,6.42,67.53,234.0
