PM2.5,PM10,O3,NO2,CO,SO2,AQI
48.57,95.68,75.715,18.22,0.92,25.39,118.0
48.57,95.68,34.06,15.69,0.97,24.55,118.0
48.57,95.68,30.7,19.3,2.6399999999999997,25.39,118.0
48.57,95.68,36.08,18.48,1.7,18.59,118.0
48.57,95.68,39.31,21.42,2.6399999999999997,25.39,118.0
48.57,95.68,46.51,38.48,2.6399999999999997,25.39,118.0
48.57,95.68,33.47,40.62,2.6399999999999997,25.39,118.0
48.57,95.68,31.89,36.74,2.6399999999999997,25.39,118.0
48.57,95.68,25.75,31.0,2.6399999999999997,25.39,118.0
48.57,95.68,4.55,7.04,0.89,8.29,118.0
48.57,95.68,6.79,55.8,2.6399999999999997,25.03,118.0
48.57,95.68,45.89,40.67,2.6399999999999997,25.39,118.0
48.57,95.68,35.16,44.2,2.6399999999999997,25.39,118.0
48.57,95.68,20.96,27.86,2.6399999999999997,25.39,118.0
48.57,95.68,47.63,16.96,0.6,25.39,118.0
48.57,95.68,46.03,21.72,1.63,25.39,118.0
48.57,95.68,52.24,24.73,2.6399999999999997,25.39,118.0
48.57,95.68,53.49,25.77,2.6399999999999997,25.39,118.0
48.57,95.68,49.48,26.88,2.51,25.39,118.0
48.57,95.68,56.37,26.8,2.6399999999999997,25.39,118.0
48.57,95.68,48.75,33.56,2.6399999999999997,25.39,118.0
48.57,95.68,42.22,17.51,2.6399999999999997,23.71,118.0
48.57,95.68,32.92,27.96,2.6399999999999997,25.39,118.0
48.57,95.68,32.49,20.39,2.03,25.39,118.0
48.57,95.68,39.26,20.43,1.42,25.39,118.0
48.57,95.68,39.83,21.16,2.27,25.39,118.0
48.57,95.68,41.1,21.7,2.19,25.39,118.0
73.24,95.68,62.42,21.11,2.6399999999999997,25.39,118.0
83.13,95.68,59.76,28.71,2.6399999999999997,25.39,209.0
79.84,95.68,75.715,28.68,2.6399999999999997,25.39,328.0
94.52,95.68,75.715,32.66,2.6399999999999997,25.39,514.0
132.9,95.68,75.715,42.08,2.6399999999999997,25.39,782.0
